Nama;Tanggal;Rating
Dedi Nirwana;7 hari lalu;5/5
Riski Meidiansyah;20-Sep-25;5/5
A***e K***;17-Sep-25;5/5
adit sopo;19-Aug-25;5/5
G***l A***;27-Jul-25;5/5
A***y V***;25-Jul-25;5/5
A***h D***;22-Jul-25;5/5
C***i B***;19-Jul-25;5/5
Komalasari No Last Name;09-Jul-25;5/5
Agung Ofta Piansyah;08-Jul-25;5/5
delima manalu;28-May-25;5/5
Baron Alrasyid;15-May-25;4/5
Deddy K;04-Apr-25;5/5
TITA YUTITA;09-Mar-25;5/5
C***l I***;01-Mar-25;3/5
Feri Dwi Juliandika;08-Feb-25;5/5
Prima Nurdiana;31-Dec-24;4/5
A***f S***;25-Aug-24;4/5
Bayu Jonatha;26-Jul-24;5/5
A***g A***;22-Jul-24;3/5
A***a M***;19-Jul-24;5/5
Yan Rizal;10-Jul-24;5/5
A***a M***;22-Jun-24;5/5
i***n f***;05-Jun-24;2/5
A***a M***;04-Jun-24;5/5
A***a M***;04-Jun-24;5/5
Gita Gustiana;02-Jun-24;5/5
I***t M***;01-Jun-24;1/5
Aa Orik;31-May-24;5/5
i***m f***;13-May-24;5/5
bradley zakaria;11-May-24;5/5
Unuy Santi;03-May-24;4/5
A***a M***;24-Apr-24;5/5
Rifki gilang Pratama;21-Apr-24;5/5
Rhobby Maulana;11-Apr-24;3/5
A***a M***;09-Apr-24;5/5
Rafly novriansyahputra;08-Apr-24;4/5
Leo Gumelar;18-Mar-24;5/5
FATHAN ADI LAKSANA;06-Mar-24;5/5
N***i I***;28-Feb-24;5/5
T***r F***;23-Feb-24;5/5
Hana Erikha;19-Feb-24;5/5
TKQ-TPQ AS-SALAM2CLG;17-Feb-24;5/5
A***a M***;10-Feb-24;4/5
A***e A***;25-Jan-24;5/5
Nisa Rachmawati;20-Jan-24;5/5
R***t B***;07-Jan-24;2/5
N***a R***;05-Jan-24;4/5
B***E L***;02-Jan-24;4/5
eva yulistiya arif;14-Dec-23;5/5
Dimas Septiana Yusuf;13-Dec-23;5/5
A***i C***;11-Dec-23;5/5
Dimas Septiana Yusuf;11-Dec-23;5/5
A***d W***;26-Nov-23;4/5
Yusuf Maulana;12-Nov-23;4/5
Rifky Milano;06-Nov-23;1/5
Faik Nugraha;18-Oct-23;5/5
M***;11-Sep-23;5/5
syane tingkue;06-Sep-23;5/5
Stiadi Tresna;30-Aug-23;5/5
Joseph Tampubolon;27-Aug-23;5/5
Gbagusw;23-Aug-23;4/5
A***s D***;22-Aug-23;5/5
Yusuf Firmansyah;21-Aug-23;5/5
Vassya Aulinindya;13-Aug-23;4/5
adit sopo;10-Aug-23;5/5
Faik Nugraha;09-Aug-23;5/5
Hendri Fernando;22-Jul-23;4/5
adit sopo;18-Jul-23;5/5
adit sopo;14-Jul-23;5/5
T***r R***;13-Jul-23;5/5
T***A Y***;12-Jul-23;5/5
Insulasi Polyurethane;07-Jul-23;5/5
Mahaduta Rachmat;30-Jun-23;5/5
Insulasi Polyurethane;29-Jun-23;5/5
Mahaduta Rachmat;27-Jun-23;5/5
F***n A***;27-Jun-23;5/5
b***o l***;23-Jun-23;5/5
U***u K***;20-Jun-23;5/5
Nur hayati;12-Jun-23;4/5
Faik Nugraha;05-Jun-23;5/5
Reinaldy Eka;31-May-23;5/5
K***n Y***;27-May-23;5/5
Tubagus Ali Fikri;25-May-23;5/5
Alya Nur Anisya;21-May-23;5/5
A***a S***;13-May-23;5/5
Eka Merdeka;01-May-23;5/5
linda Saroha;26-Apr-23;4/5
Fox in The Box;08-Apr-23;5/5
A***s N***;07-Mar-23;4/5
Faik Nugraha;03-Mar-23;5/5
Dymitri Hani Puspita Sari;19-Feb-23;5/5
Gandhira Seisha;06-Feb-23;5/5
Yusuf Maulana;06-Feb-23;5/5
M***a F***;20-Jan-23;5/5
R***o A***;20-Jan-23;5/5
E***k T***;20-Jan-23;5/5
R***a R***;20-Jan-23;5/5
Rd Muhammad Noor Izzulhaq;15-Dec-22;5/5
Kania Amalia;07-Dec-22;4/5
